Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
0,1401,25,1,8,4
2,396,25,1,10,5
4,273,25,1,12,6
6,256,25,1,14,7
8,361,25,1,16,8
10,463,25,1,18,9
12,575,25,1,20,10
14,719,25,1,22,11
16,668,25,1,24,12
18,729,25,1,26,13
20,529,25,1,28,14
22,519,25,1,30,15
24,493,25,1,32,16
26,458,25,1,34,17
28,403,25,1,36,18
30,414,25,1,38,19
32,810,25,1,40,20
34,468,25,1,42,21
36,1147,25,1,44,22
38,2202,25,1,46,23
40,296,25,1,48,24
42,247,25,1,50,25
44,228,25,1,52,26
46,183,25,1,54,27
48,162,25,1,56,28
50,146,25,1,58,29
52,115,25,1,60,30
54,96,25,1,62,31
56,80,25,1,64,32
58,77,25,1,66,33
60,68,25,1,68,34
62,64,25,1,70,35
