X-ray (ID 01) / Crystal angle ? _c,X-ray (ID 01) / Impulse Imp
? _c/°,Imp/# / s
,
4,28
4.1,25
4.2,22
4.3,20
4.4,21
4.5,20
4.6,23
4.7,23
4.8,21
4.9,22
5,20
5.1,28
5.2,16
5.3,22
5.4,32
5.5,19
5.6,23
5.7,18
5.8,18
5.9,18
6,20
6.1,28
6.2,20
6.3,23
6.4,19
6.5,23
6.6,23
6.7,24
6.8,29
6.9,23
7,20
7.1,20
7.2,27
7.3,26
7.4,20
7.5,32
7.6,22
7.7,26
7.8,24
7.9,29
8,31
8.1,32
8.2,42
8.3,33
8.4,26
8.5,33
8.6,37
8.7,43
8.8,36
8.9,38
9,42
9.1,42
9.2,35
9.3,41
9.4,36
9.5,37
9.6,35
9.7,44
9.8,38
9.9,36
10,36
10.1,47
10.2,38
10.3,39
10.4,41
10.5,42
10.6,42
10.7,41
10.8,44
10.9,41
11,42
11.1,44
11.2,44
11.3,48
11.4,44
11.5,42
11.6,46
11.7,39
11.8,42
11.9,41
12,221
12.1,305
12.2,302
12.3,187
12.4,95
12.5,76
12.6,56
12.7,54
12.8,51
12.9,63
13,52
13.1,50
13.2,69
13.3,781
13.4,1616
13.5,1597
13.6,1092
13.7,425
13.8,230
13.9,99
14,64
14.1,50
14.2,45
14.3,48
14.4,45
14.5,37
14.6,31
14.7,44
14.8,51
14.9,52
15,42
15.1,39
15.2,38
15.3,38
15.4,43
15.5,38
15.6,32
15.7,37
15.8,36
15.9,31
16,37
16.1,38
16.2,38
16.3,34
16.4,33
16.5,33
16.6,40
16.7,34
16.8,33
16.9,34
17,33
17.1,36
17.2,34
17.3,31
17.4,34
17.5,33
17.6,28
17.7,39
17.8,30
17.9,34
18,25
18.1,30
18.2,28
18.3,33
18.4,29
18.5,27
18.6,26
18.7,25
18.8,24
18.9,26
19,26
19.1,32
19.2,30
19.3,22
19.4,22
19.5,28
19.6,24
19.7,21
19.8,23
19.9,24
20,27
20.1,25
20.2,24
20.3,23
20.4,26
20.5,26
20.6,24
20.7,20
20.8,22
20.9,27
21,26
21.1,22
21.2,21
21.3,18
21.4,20
21.5,20
21.6,22
21.7,32
21.8,25
21.9,22
22,25
22.1,24
22.2,23
22.3,19
22.4,18
22.5,23
22.6,19
22.7,18
22.8,25
22.9,21
23,24
23.1,17
23.2,20
23.3,18
23.4,21
23.5,18
23.6,21
23.7,19
23.8,24
23.9,19
24,16
24.1,19
24.2,21
24.3,23
24.4,20
24.5,20
24.6,23
24.7,30
24.8,156
24.9,186
25,95
25.1,46
25.2,28
25.3,27
25.4,27
25.5,24
25.6,22
25.7,25
25.8,15
25.9,25
26,27
26.1,19
26.2,25
26.3,16
26.4,24
26.5,25
26.6,26
26.7,23
26.8,23
26.9,22
27,25
27.1,24
27.2,26
27.3,27
27.4,27
27.5,36
27.6,81
27.7,593
27.8,799
27.9,385
28,143
28.1,71
28.2,58
28.3,36
28.4,32
28.5,29
28.6,30
28.7,22
28.8,17
28.9,19
29,25
29.1,26
29.2,14
29.3,20
29.4,27
29.5,22
29.6,26
29.7,19
29.8,24
29.9,19
30,18
30.1,20
30.2,26
30.3,16
30.4,20
30.5,19
30.6,19
30.7,23
30.8,22
30.9,19
31,22
31.1,17
31.2,20
31.3,22
31.4,16
31.5,17
31.6,23
31.7,22
31.8,18
31.9,17
32,14
32.1,21
32.2,19
32.3,24
32.4,20
32.5,15
32.6,22
32.7,20
32.8,15
32.9,23
33,20
33.1,18
33.2,20
33.3,21
33.4,15
33.5,22
33.6,18
33.7,20
33.8,22
33.9,20
34,14
34.1,18
34.2,18
34.3,18
34.4,19
34.5,15
34.6,16
34.7,23
34.8,13
34.9,14
35,14
